"No.","Time","Source","Destination","Protocol","Length","Info"
"5742","17.541533180","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1567971 Ack=9138 Win=52224 Len=1420 TSval=561752929 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5744","17.542201737","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1569391 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5745","17.542397749","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1570811 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5747","17.542544278","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1572231 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5748","17.543145691","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1573651 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5750","17.543300063","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1575071 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5751","17.543575429","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1576491 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5753","17.543744263","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1577911 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5754","17.544112219","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1579331 Ack=9138 Win=52224 Len=1420 TSval=561752931 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5756","17.544285095","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5757","17.544407680","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1582171 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5759","17.544628873","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1583591 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5760","17.544833203","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1585011 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5762","17.544974333","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1586431 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5763","17.545278819","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1587851 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5765","17.545457727","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1589271 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5766","17.545553266","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1590691 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5768","17.546489385","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1592111 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5769","17.546683599","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1593531 Ack=9138 Win=52224 Len=1420 TSval=561752932 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5771","17.546809087","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1594951 Ack=9138 Win=52224 Len=1420 TSval=561752933 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5772","17.547120500","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1596371 Ack=9138 Win=52224 Len=1420 TSval=561752933 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5774","17.547297892","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5775","17.547394868","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1599211 Ack=9138 Win=52224 Len=1420 TSval=561752933 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5777","17.547646199","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1600631 Ack=9138 Win=52224 Len=1420 TSval=561752933 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5778","17.550577927","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1602051 Ack=9138 Win=52224 Len=1420 TSval=561752933 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5780","17.550696930","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1603471 Ack=9138 Win=52224 Len=1420 TSval=561752933 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5781","17.550708313","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1604891 Ack=9138 Win=52224 Len=1420 TSval=561752933 TSecr=3833642261 [TCP segment of a reassembled PDU]"
"5783","17.550920475","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1606311 Ack=9138 Win=52224 Len=1420 TSval=561752937 TSecr=3833642301 [TCP segment of a reassembled PDU]"
"5784","17.550930940","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1607731 Ack=9138 Win=52224 Len=1420 TSval=561752937 TSecr=3833642301 [TCP segment of a reassembled PDU]"
"5786","17.550953418","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1609151 Ack=9138 Win=52224 Len=1420 TSval=561752937 TSecr=3833642301 [TCP segment of a reassembled PDU]"
"5787","17.551032756","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1610571 Ack=9138 Win=52224 Len=1420 TSval=561752937 TSecr=3833642301 [TCP segment of a reassembled PDU]"
"5788","17.551036768","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1611991 Ack=9138 Win=52224 Len=1420 TSval=561752937 TSecr=3833642301 [TCP segment of a reassembled PDU]"
"5789","17.551039516","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1613411 Ack=9138 Win=52224 Len=1420 TSval=561752937 TSecr=3833642301 [TCP segment of a reassembled PDU]"
"5790","17.551041951","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5792","17.551112129","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1616251 Ack=9138 Win=52224 Len=1420 TSval=561752947 TSecr=3833642304 [TCP segment of a reassembled PDU]"
"5795","17.551305069","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1617671 Ack=9138 Win=52224 Len=1420 TSval=561752947 TSecr=3833642304 [TCP segment of a reassembled PDU]"
"5796","17.551500777","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1619091 Ack=9138 Win=52224 Len=1420 TSval=561752947 TSecr=3833642304 [TCP segment of a reassembled PDU]"
"5798","17.551714850","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1620511 Ack=9138 Win=52224 Len=1420 TSval=561752947 TSecr=3833642304 [TCP segment of a reassembled PDU]"
"5799","17.551902678","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1621931 Ack=9138 Win=52224 Len=1420 TSval=561752947 TSecr=3833642304 [TCP segment of a reassembled PDU]"
"5801","17.552083357","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1623351 Ack=9138 Win=52224 Len=1420 TSval=561752947 TSecr=3833642304 [TCP segment of a reassembled PDU]"
"5802","17.552799561","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1624771 Ack=9138 Win=52224 Len=1420 TSval=561752947 TSecr=3833642304 [TCP segment of a reassembled PDU]"
"5804","17.553166610","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1626191 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5805","17.553179672","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1627611 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5807","17.553342120","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1629031 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5808","17.553540276","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5810","17.554118681","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1631871 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5811","17.559195602","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1633291 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5813","17.559327408","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1634711 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5814","17.559335572","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1636131 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5816","17.559353373","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1637551 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5817","17.559690015","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1638971 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5819","17.559860909","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1640391 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5820","17.559958959","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1641811 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5822","17.560884214","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1643231 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5823","17.560916229","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1644651 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5825","17.561038817","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1646071 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5826","17.561345128","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5828","17.561516013","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1648911 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5829","17.561611359","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1650331 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642314 [TCP segment of a reassembled PDU]"
"5831","17.561926558","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1651751 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5832","17.562017782","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1653171 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5834","17.564688519","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1654591 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5835","17.564779997","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1656011 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5837","17.564830479","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1657431 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5838","17.564881216","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1658851 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5839","17.564884855","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1660271 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5840","17.564887249","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1661691 Ack=9138 Win=52224 Len=1420 TSval=561752957 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5841","17.564889237","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5842","17.564892015","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1664531 Ack=9138 Win=52224 Len=1420 TSval=561752959 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5843","17.564893855","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1665951 Ack=9138 Win=52224 Len=1420 TSval=561752959 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5845","17.564970618","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1667371 Ack=9138 Win=52224 Len=1420 TSval=561752959 TSecr=3833642317 [TCP segment of a reassembled PDU]"
"5849","17.565366649","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1668791 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5850","17.565372021","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1670211 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5852","17.565546098","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1671631 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5853","17.565760112","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1673051 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5855","17.565969289","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1674471 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5856","17.566131913","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1675891 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5858","17.566329575","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1677311 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5859","17.566515410","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1678731 Ack=9138 Win=52224 Len=1420 TSval=561752967 TSecr=3833642319 [TCP segment of a reassembled PDU]"
"5861","17.567335140","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5862","17.567525478","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1681571 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5864","17.567718476","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1682991 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5865","17.567914099","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1684411 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5867","17.568110687","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1685831 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5868","17.568304848","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1687251 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5870","17.568494966","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1688671 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5871","17.568713745","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1690091 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5873","17.568875241","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1691511 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5874","17.569480228","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1692931 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5876","17.570032313","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1694351 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5877","17.570955097","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5879","17.571122676","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1697191 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5880","17.571485445","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1698611 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5882","17.571629679","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1700031 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5883","17.572122080","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1701451 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5885","17.572301042","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1702871 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5886","17.572887341","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1704291 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642336 [TCP segment of a reassembled PDU]"
"5888","17.573593844","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1705711 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5889","17.573787387","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1707131 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5891","17.574170162","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1708551 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5892","17.574364551","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1709971 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5894","17.575073553","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1711391 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5895","17.575274971","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5897","17.575690826","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1714231 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5898","17.575719140","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1715651 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5900","17.575977082","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1717071 Ack=9138 Win=52224 Len=1420 TSval=561752996 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5901","17.576621576","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1718491 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5903","17.576791202","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1719911 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5904","17.577000812","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1721331 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5906","17.577559668","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1722751 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5907","17.577757748","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1724171 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5909","17.578176595","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1725591 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5910","17.580009124","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1727011 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5912","17.580074616","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5913","17.580179273","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1729851 Ack=9138 Win=52224 Len=1420 TSval=561752997 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5915","17.580194655","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1731271 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5916","17.580199147","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1732691 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5918","17.580394043","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1734111 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5919","17.580560817","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1735531 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5921","17.580749648","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1736951 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5922","17.580945934","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1738371 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5924","17.581628962","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1739791 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5925","17.582062455","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1741211 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5927","17.582256405","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1742631 Ack=9138 Win=52224 Len=1420 TSval=561752998 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5928","17.582442030","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1744051 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5930","17.583428123","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"5931","17.583620348","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1746891 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5933","17.584375432","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1748311 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5934","17.584563211","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1749731 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5936","17.584753870","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1751151 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5937","17.585346169","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1752571 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5939","17.585830037","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1753991 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5940","17.587312934","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1755411 Ack=9138 Win=52224 Len=1420 TSval=561752999 TSecr=3833642365 [TCP segment of a reassembled PDU]"
"5942","17.587392301","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=1756831 Ack=9138 Win=52224 Len=1420 TSval=561753000 TSecr=3833642365 [TCP segment of a reassembled PDU]"
