"No.","Time","Source","Destination","Protocol","Length","Info"
"11630","82.305949852","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11631","82.306128950","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6672591 Ack=16687 Win=72192 Len=1420 TSval=561817733 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11633","82.306562898","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6674011 Ack=16687 Win=72192 Len=1420 TSval=561817734 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11634","82.306741783","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6675431 Ack=16687 Win=72192 Len=1420 TSval=561817734 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11636","82.306935772","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6676851 Ack=16687 Win=72192 Len=1420 TSval=561817734 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11637","82.307127546","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6678271 Ack=16687 Win=72192 Len=1420 TSval=561817734 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11639","82.307346914","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6679691 Ack=16687 Win=72192 Len=1420 TSval=561817735 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11640","82.308105238","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6681111 Ack=16687 Win=72192 Len=1420 TSval=561817735 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11642","82.311691220","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6682531 Ack=16687 Win=72192 Len=1420 TSval=561817736 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11643","82.311917339","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6683951 Ack=16687 Win=72192 Len=1420 TSval=561817736 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11645","82.312031424","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6685371 Ack=16687 Win=72192 Len=1420 TSval=561817737 TSecr=3833707086 [TCP segment of a reassembled PDU]"
"11646","82.312038000","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11648","82.312052514","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6688211 Ack=16687 Win=72192 Len=1420 TSval=561817737 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11649","82.312055747","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6689631 Ack=16687 Win=72192 Len=1420 TSval=561817737 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11651","82.312115152","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6691051 Ack=16687 Win=72192 Len=1420 TSval=561817738 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11652","82.312227228","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6692471 Ack=16687 Win=72192 Len=1420 TSval=561817738 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11654","82.312755998","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6693891 Ack=16687 Win=72192 Len=1420 TSval=561817739 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11655","82.312884776","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6695311 Ack=16687 Win=72192 Len=1420 TSval=561817739 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11657","82.313073227","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6696731 Ack=16687 Win=72192 Len=1420 TSval=561817739 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11658","82.313493067","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6698151 Ack=16687 Win=72192 Len=1420 TSval=561817739 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11660","82.313662348","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6699571 Ack=16687 Win=72192 Len=1420 TSval=561817740 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11661","82.313842907","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6700991 Ack=16687 Win=72192 Len=1420 TSval=561817740 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11663","82.314107618","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6702411 Ack=16687 Win=72192 Len=1420 TSval=561817741 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11664","82.314288535","173.194.17.136","192.168.0.113","TLSv1.2","1486","Application Data [TCP segment of a reassembled PDU]"
"11666","82.314416876","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6705251 Ack=16687 Win=72192 Len=1420 TSval=561817742 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11667","82.314652052","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6706671 Ack=16687 Win=72192 Len=1420 TSval=561817742 TSecr=3833707100 [TCP segment of a reassembled PDU]"
"11669","82.314981222","173.194.17.136","192.168.0.113","TCP","1486","443  >  40258 [ACK] Seq=6708091 Ack=16687 Win=72192 Len=1420 TSval=561817742 TSecr=3833707100 [TCP segment of a reassembled PDU]"
